Designator,Mid X,Mid Y,Rotation,Layer
RS_UART_TX1,61.9202,-59.8598,180.0,top
R_TERM1,55.3162,-53.7768,180.0,top
U2,57.3024,-92.2324,0.0,top
U5,56.7132,-57.5738,90.0,top
UO1,108.460904,-51.464493,270.0,top
UO10,230.838104,-51.464493,270.0,top
UO2,122.115916,-51.464493,270.0,top
UO3,135.728706,-51.464493,270.0,top
UO4,149.328629,-51.464493,270.0,top
UO5,162.924263,-51.464493,270.0,top
UO6,176.51561,-51.464493,270.0,top
UO7,190.102667,-51.464493,270.0,top
UO8,203.685435,-51.464493,270.0,top
UO9,217.263914,-51.464493,270.0,top
